Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beta_2,Chrome 103.0.5060.114,,,2022-07-12 23:36:35,2022-07-12 23:41:02,4m - 27.007s,PASSED
,,,,,,,
Test Cases/14_Approved Courses Search by Preferred Training Location,Chrome 103.0.5060.114,,,2022-07-12 23:36:35,2022-07-12 23:36:54,18.642s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:36:37,2022-07-12 23:36:44,6.858s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:36:44,2022-07-12 23:36:44,0.242s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:44,2022-07-12 23:36:46,2.200s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:36:46,2022-07-12 23:36:48,1.491s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:48,2022-07-12 23:36:48,0.914s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:48,2022-07-12 23:36:50,1.495s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:50,2022-07-12 23:36:52,2.052s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:52,2022-07-12 23:36:53,0.832s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:36:53,2022-07-12 23:36:54,1.140s,PASSED
,,,,,,,
Test Cases/15_Approved Courses Search by Listings with Course Fee,Chrome 103.0.5060.114,,,2022-07-12 23:36:54,2022-07-12 23:37:07,13.484s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:36:56,2022-07-12 23:36:58,2.631s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:36:58,2022-07-12 23:36:59,0.314s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:59,2022-07-12 23:37:02,3.319s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:02,2022-07-12 23:37:03,0.925s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:03,2022-07-12 23:37:03,0.452s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:03,2022-07-12 23:37:05,1.152s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:05,2022-07-12 23:37:06,1.475s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:06,2022-07-12 23:37:07,0.546s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:07,2022-07-12 23:37:07,0.852s,PASSED
,,,,,,,
Test Cases/16_Approved Courses Search by Listings with Weekend Classes,Chrome 103.0.5060.114,,,2022-07-12 23:37:07,2022-07-12 23:37:19,11.037s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:09,2022-07-12 23:37:11,1.952s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:11,2022-07-12 23:37:11,0.177s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:11,2022-07-12 23:37:13,2.548s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:13,2022-07-12 23:37:14,1.060s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:14,2022-07-12 23:37:15,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:15,2022-07-12 23:37:15,0.535s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:15,2022-07-12 23:37:17,1.661s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:17,2022-07-12 23:37:18,0.483s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:18,2022-07-12 23:37:19,0.987s,PASSED
,,,,,,,
Test Cases/17_Approved Courses Reset Search Filters,Chrome 103.0.5060.114,,,2022-07-12 23:37:19,2022-07-12 23:37:33,14.474s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:20,2022-07-12 23:37:23,2.500s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:23,2022-07-12 23:37:23,0.189s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:23,2022-07-12 23:37:27,4.380s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:27,2022-07-12 23:37:29,1.491s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:29,2022-07-12 23:37:30,0.559s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:30,2022-07-12 23:37:31,1.145s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:31,2022-07-12 23:37:32,1.022s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:32,2022-07-12 23:37:32,0.479s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:32,2022-07-12 23:37:33,0.809s,PASSED
,,,,,,,
Test Cases/18_Generic Page Footer Component,Chrome 103.0.5060.114,,,2022-07-12 23:37:33,2022-07-12 23:37:46,13.439s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:34,2022-07-12 23:37:37,2.432s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:37,2022-07-12 23:37:37,0.181s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:37,2022-07-12 23:37:41,4.707s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:41,2022-07-12 23:37:43,1.190s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:43,2022-07-12 23:37:43,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:43,2022-07-12 23:37:44,0.646s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:44,2022-07-12 23:37:44,0.674s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:44,2022-07-12 23:37:45,1.028s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:45,2022-07-12 23:37:46,0.983s,PASSED
,,,,,,,
Test Cases/19_Generic Feedback Component,Chrome 103.0.5060.114,,,2022-07-12 23:37:46,2022-07-12 23:37:59,12.504s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:48,2022-07-12 23:37:50,1.993s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:50,2022-07-12 23:37:50,0.461s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:50,2022-07-12 23:37:55,4.489s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:55,2022-07-12 23:37:55,0.839s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:55,2022-07-12 23:37:56,0.479s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:56,2022-07-12 23:37:57,0.889s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:57,2022-07-12 23:37:57,0.730s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:57,2022-07-12 23:37:58,0.520s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:58,2022-07-12 23:37:59,0.943s,PASSED
,,,,,,,
Test Cases/21_Approved Courses Expandable Search Result,Chrome 103.0.5060.114,,,2022-07-12 23:37:59,2022-07-12 23:38:11,11.970s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:00,2022-07-12 23:38:02,1.803s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:02,2022-07-12 23:38:02,0.153s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:02,2022-07-12 23:38:06,4.229s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:06,2022-07-12 23:38:08,1.161s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:08,2022-07-12 23:38:08,0.687s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:08,2022-07-12 23:38:09,0.610s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:09,2022-07-12 23:38:10,0.654s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:10,2022-07-12 23:38:10,0.556s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:10,2022-07-12 23:38:11,0.835s,PASSED
,,,,,,,
Test Cases/20_Approved Courses Basic Search Result,Chrome 103.0.5060.114,,,2022-07-12 23:38:11,2022-07-12 23:38:23,12.357s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:12,2022-07-12 23:38:14,2.361s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:14,2022-07-12 23:38:15,0.268s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:15,2022-07-12 23:38:18,3.079s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:18,2022-07-12 23:38:19,1.035s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:19,2022-07-12 23:38:20,1.208s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:20,2022-07-12 23:38:21,1.238s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:21,2022-07-12 23:38:22,0.861s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:22,2022-07-12 23:38:23,0.536s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:23,2022-07-12 23:38:23,0.785s,PASSED
,,,,,,,
Test Cases/22_Approved Courses Search Results - Display Type,Chrome 103.0.5060.114,,,2022-07-12 23:38:23,2022-07-12 23:38:35,11.924s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:25,2022-07-12 23:38:27,2.251s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:27,2022-07-12 23:38:27,0.243s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:27,2022-07-12 23:38:30,3.328s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:30,2022-07-12 23:38:32,1.484s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:32,2022-07-12 23:38:33,0.618s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:33,2022-07-12 23:38:33,0.696s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:33,2022-07-12 23:38:34,0.668s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:34,2022-07-12 23:38:34,0.533s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:34,2022-07-12 23:38:35,0.733s,PASSED
,,,,,,,
Test Cases/24_Training Eligibility Step 1,Chrome 103.0.5060.114,,,2022-07-12 23:38:35,2022-07-12 23:38:47,11.379s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:37,2022-07-12 23:38:39,2.198s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:39,2022-07-12 23:38:39,0.167s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:39,2022-07-12 23:38:42,2.680s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:42,2022-07-12 23:38:43,1.025s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:43,2022-07-12 23:38:44,0.987s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:44,2022-07-12 23:38:45,0.749s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:45,2022-07-12 23:38:45,0.798s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:45,2022-07-12 23:38:46,0.510s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:46,2022-07-12 23:38:47,0.780s,PASSED
,,,,,,,
Test Cases/23_Course Marketplace Page Header,Chrome 103.0.5060.114,,,2022-07-12 23:38:47,2022-07-12 23:38:58,11.163s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:48,2022-07-12 23:38:50,1.631s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:50,2022-07-12 23:38:50,0.176s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:50,2022-07-12 23:38:53,2.888s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:53,2022-07-12 23:38:54,0.950s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:54,2022-07-12 23:38:54,0.430s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:54,2022-07-12 23:38:56,1.493s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:56,2022-07-12 23:38:56,0.838s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:56,2022-07-12 23:38:57,0.634s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:57,2022-07-12 23:38:58,0.823s,PASSED
,,,,,,,
Test Cases/25_Training Eligibility Step 2,Chrome 103.0.5060.114,,,2022-07-12 23:38:58,2022-07-12 23:39:09,11.632s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:59,2022-07-12 23:39:01,1.559s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:39:01,2022-07-12 23:39:01,0.218s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:01,2022-07-12 23:39:03,2.450s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:39:03,2022-07-12 23:39:05,1.222s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:05,2022-07-12 23:39:05,0.461s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:05,2022-07-12 23:39:06,1.221s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:06,2022-07-12 23:39:08,1.461s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:08,2022-07-12 23:39:08,0.675s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:39:08,2022-07-12 23:39:09,1.013s,PASSED
,,,,,,,
Test Cases/26_Generic Page Header Component,Chrome 103.0.5060.114,,,2022-07-12 23:39:09,2022-07-12 23:39:22,12.185s,PASSED
