Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beta_5,Chrome 103.0.5060.114,,,2022-07-12 23:36:46,2022-07-12 23:41:54,5m - 7.958s,PASSED
,,,,,,,
Test Cases/83_Google Analytics,Chrome 103.0.5060.114,,,2022-07-12 23:36:47,2022-07-12 23:37:07,19.444s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:36:49,2022-07-12 23:36:57,7.694s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:36:57,2022-07-12 23:36:57,0.324s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:57,2022-07-12 23:37:00,3.060s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:00,2022-07-12 23:37:02,1.254s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:02,2022-07-12 23:37:03,0.842s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:03,2022-07-12 23:37:03,0.598s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:03,2022-07-12 23:37:04,0.576s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:04,2022-07-12 23:37:05,0.794s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:05,2022-07-12 23:37:07,2.112s,PASSED
,,,,,,,
Test Cases/84_TP Onboarding Preview,Chrome 103.0.5060.114,,,2022-07-12 23:37:07,2022-07-12 23:37:19,11.835s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:08,2022-07-12 23:37:10,2.016s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:10,2022-07-12 23:37:10,0.159s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:10,2022-07-12 23:37:13,3.143s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:13,2022-07-12 23:37:14,1.378s,PASSED
